PR4A,SR13A,42.5
SU45D,SR13A,42.5
CC3E,SR13A,42.5
G26A,SR13A,42.5
PR4A,SR29,42.5
SU45D,SR29,42.5
CC3E,SR29,42.5
G26A,SR29,42.5
PR4A,G27C,42.5
SU45D,G27C,42.5
CC3E,G27C,42.5
G26A,G27C,42.5
SR27,D38C,43.5
D37A,D38C,43.5
D59A,D38C,43.5
D22A,D38C,43.5
G44A,D38C,43.5
D72A,D38C,43.5
SR13A,D38C,43.5
SR29,D38C,43.5
G27C,D38C,43.5
SR27,CC3I,43.5
D37A,CC3I,43.5
D59A,CC3I,43.5
D22A,CC3I,43.5
G44A,CC3I,43.5
D72A,CC3I,43.5
SR13A,CC3I,43.5
SR29,CC3I,43.5
G27C,CC3I,43.5
